Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Japan,"School enrollment, secondary (% gross)",..,..,..,..,..,..,..,..,..,..,..,..,..,101.7811737,101.8139801,102.2004166,101.1679993,101.8828888,102.425148,102.6700668,102.8448029,102.1553802,102.3379669,102.3444366
Japan,"Life expectancy at birth, total (years)",81.07609756,81.41634146,81.69073171,81.76,82.0302439,81.95512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56,84.44560976,83.99634146,84.04121951
Japan,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),..,..,..,..,..,..,..,..,1,0.9,0.7,0.5,1.5,1,0.7,0.4,0.7,0.6,1,1.2,1.2,..,..,..
Japan,Gini index,..,..,..,..,..,..,..,..,34.6,33,31.5,33,32.5,31.5,31.3,30.7,31.8,31.8,32.9,33,32.3,..,..,..
Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.748,5.02,5.386,5.251,4.734,4.446,4.192,3.888,4.002,5.068,5.102,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.828,2.6,2.6
Japan,"Inflation, consumer prices (annual %)",-0.6765786836,-0.7400555042,-0.9234940269,-0.2565418163,-0.008573388203,-0.2829460688,0.2493551161,0.0600394545,1.380078862,-1.35283673,-0.7282432075,-0.2724556161,-0.04406451044,0.3350379122,2.759226714,0.7952796306,-0.1272588445,0.4841997961,0.989094598,0.4687761594,-0.02499583403,-0.2333527794,2.497702782,3.268133659
India,GDP per capita (current US$),442.7502189,450.3579005,469.149929,544.1431335,624.2588265,710.4880804,801.6683537,1021.887077,992.5195849,1094.949746,1347.519391,1445.461275,1429.321995,1432.843975,1553.883961,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2347.448294,2530.120313
India,GDP growth (annual %),3.840991157,4.823966266,3.803975321,7.860381476,7.922936612,7.923430621,8.060732572,7.660815067,3.086698059,7.861888833,8.497584702,5.241316199,5.456387552,6.386106401,7.410227605,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493
India,"School enrollment, secondary (% gross)",47.17343903,46.82458115,48.80693817,51.42557144,53.24737167,55.9314003,56.78594971,59.14783859,62.21192169,61.36032104,64.94759369,67.12516785,69.80895996,69.47712708,74.88870239,74.61136627,75.93728638,74.67437744,76.00257874,75.8716507,77.97664333,80.83557155,81.65584643,79.32503975
India,"Life expectancy at birth, total (years)",62.749,63.158,63.649,64.086,64.484,64.939,65.373,65.803,66.247,66.7,67.162,67.623,68.076,68.499,68.932,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003
